ERROR 2012-07-09 21:05:17,494 <stdin> 12846 140732535596800 test
DEBUG 2012-07-09 22:51:32,277 configurator ['Test']
WARNING 2012-07-09 22:51:32,278 configurator More than one server found, no server specified. Using first server.
DEBUG 2012-07-09 22:52:11,705 configurator ['Test']
INFO 2012-07-11 16:49:00,825 pyredstone Getting configuration from config file /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:49:00,826 pyredstone Getting configuration from config file /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:49:00,827 pyredstone Getting configuration from config file /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:49:00,827 pyredstone Getting configuration from config file /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:49:52,030 pyredstone Getting configuration from config file /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:49:52,031 pyredstone Getting configuration from config file /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:49:52,032 pyredstone Getting configuration from config file /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:49:52,032 pyredstone Getting configuration from config file /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:50:32,071 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:50:32,072 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:50:32,072 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:50:32,073 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:50:58,865 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:50:58,865 configurator Getting config from config file None
INFO 2012-07-11 16:50:58,866 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:50:58,866 configurator Getting config from config file None
INFO 2012-07-11 16:50:58,866 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:50:58,866 configurator Getting config from config file None
INFO 2012-07-11 16:50:58,867 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:50:58,867 configurator Getting config from config file None
INFO 2012-07-11 16:51:39,670 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:51:39,670 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:51:39,671 configurator ['Test']
INFO 2012-07-11 16:51:39,671 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:51:39,671 configurator ['Test']
INFO 2012-07-11 16:51:39,672 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:51:39,673 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:51:39,673 configurator ['Test']
INFO 2012-07-11 16:51:39,673 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:51:39,674 configurator ['Test']
INFO 2012-07-11 16:51:39,674 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:51:39,674 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:51:39,674 configurator ['Test']
INFO 2012-07-11 16:51:39,675 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:51:39,675 configurator ['Test']
INFO 2012-07-11 16:51:39,675 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:51:39,676 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:51:39,676 configurator ['Test']
INFO 2012-07-11 16:51:39,676 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:51:39,677 configurator ['Test']
INFO 2012-07-11 16:52:39,484 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:52:39,484 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:52:39,485 configurator ['Test']
INFO 2012-07-11 16:52:39,485 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:52:39,485 configurator ['Test']
